Dam,Group,Baseline Weight,Wk1 Weight,Wk2 Weight,Wk3 Weight,Wk4 Weight,Wk5 Weight,Wk6 Weight,Wk7 Weight,Wk8 Weight
HFD-25-01,CON,21.1,20,20,19.9,20.3,20.7,21.4,21.1,21.1
HFD-25-02,CON,22.4,20.9,21.2,22.2,21.7,22.4,22.7,22,21
HFD-25-03,CON,22.4,22.2,22.6,22.3,22.3,22.6,23.4,23.2,22
HFD-25-04,CON,22.8,22.4,23.1,22.4,24.1,25,23.1,24.1,23.2
HFD-25-05,CON,22.8,21.8,22.5,22,21.8,21.9,23.4,23,22.8
HFD-25-06,HFD,21.8,23.8,23.6,26.2,28.1,27.8,31.6,32,32.8
HFD-25-07,HFD,23,25.8,26.4,29.4,31.6,35.8,34.8,36.7,38.2
HFD-25-08,HFD,23.6,22.7,21.8,24.9,22.9,23.8,25.5,28.5,25.3
HFD-25-09,HFD,22,23.2,22.7,25.4,26.7,31.5,33.8,30.8,33.3
HFD-25-10,HFD,21,22.1,22.2,24.6,23.3,22.7,25.3,25.4,25.9
